Date,Month,Visitors (Visit),Buyers (Placed Orders),Units (Placed Orders),Orders (Placed Orders),Sales (Placed Orders) (VND),Conversion Rate (Visit to Placed),Buyers (Confirmed Orders),Units(Confirmed Orders),Orders (Confirmed Orders),Sales(Confirmed Orders) (VND),Sales per Buyer (Confirmed Orders) (VND),Conversion Rate
2/10/2025,2,622028,4602,8355,5049,1479587468,0.74%,4254,7370,4414,1299130187,305390,0.68%
2/11/2025,2,628049,3840,6805,4254,1255932764,0.61%,3617,6026,3756,1108794164,306551,0.58%
2/12/2025,2,582715,3245,5709,3511,1024710092,0.56%,2998,5023,3100,901920899,300841,0.51%
2/13/2025,2,610094,3017,5495,3299,986353031,0.49%,2789,4791,2894,855854664,306868,0.46%
2/14/2025,2,704354,6020,11083,6720,1875219500,0.85%,5342,9295,5610,1564519030,292871,0.76%
2/15/2025,2,1200117,37394,100854,48524,13046819674,3.12%,32785,78991,37935,10164969587,310049,2.73%
2/16/2025,2,820985,3550,6599,3997,1218089749,0.43%,4816,9309,5078,1499555271,311369,0.59%
2/17/2025,2,657052,3857,6600,4221,1224930906,0.59%,3646,5953,3793,1095752225,300535,0.55%
2/18/2025,2,614397,3354,5444,3670,1079265062,0.55%,3149,4876,3256,956053098,303605,0.51%
2/19/2025,2,627578,2752,4357,2986,864513491,0.44%,2569,3873,2642,762904934,296966,0.41%
2/20/2025,2,927128,5259,11308,6046,1944287086,0.57%,4606,9344,4963,1592153154,345669,0.50%
2/21/2025,2,703824,2080,3363,2249,683932294,0.30%,1997,3102,2072,623638932,312288,0.28%
2/22/2025,2,766920,2003,3516,2190,673452966,0.26%,1815,3014,1877,571519369,314887,0.24%
2/23/2025,2,1266489,4127,7962,4475,1318511508,0.33%,3801,6996,3919,1155908522,304106,0.30%
2/24/2025,2,1025870,5243,12611,6085,1864805194,0.51%,4497,10002,4882,1486954206,330655,0.44%
2/25/2025,2,1159821,13214,29876,15650,4424450095,1.14%,11801,24786,12903,3640568123,308497,1.02%
2/26/2025,2,1282282,3552,7274,3947,1271878611,0.28%,3498,6772,3661,1159323272,331425,0.27%
2/27/2025,2,837855,1694,2905,1853,581083948,0.20%,1587,2657,1655,520467817,327957,0.19%
2/28/2025,2,772517,1525,2666,1645,541140237,0.20%,1357,2256,1396,455359303,335563,0.18%
3/1/2025,3,907196,3755,6997,4130,1250327146,0.41%,3491,6225,3641,1104549616,316399,0.38%
3/2/2025,3,1430676,9433,23074,11155,3233826422,0.66%,7630,16985,8267,2391635560,313452,0.53%
3/3/2025,3,1841516,56407,149898,74899,21802270158,3.06%,49385,116596,58011,16782520158,339830,2.68%
3/4/2025,3,1097075,4621,10745,5191,1607513218,0.42%,6120,13213,6493,1924334274,314434,0.56%
3/5/2025,3,1101335,4373,9513,4943,1510434920,0.40%,3880,7903,4119,1246159952,321175,0.35%
3/6/2025,3,924919,2708,5305,2961,952495569,0.29%,2549,4798,2652,844517585,331313,0.28%
3/7/2025,3,678507,2501,4707,2686,858059671,0.37%,2339,4209,2403,766404683,327663,0.34%
